%% LaTeX2e file `div_horizontal.data'
%% generated by the `filecontents' environment
%% from source `TransferReport' on 2021/01/15.
%%
#MOPS  Power [mW]
0  17.72004514666935
1  12.569805089976535
2  21.840329667841555
3  27.586228448267445
4  3.7416573867739413
5  38.01315561749642
6  13.45362404707371
7  44.74371464239419
8  52.028838157314254
9  24.677925358506133
10  20.97617696340303
11  6.708203932499369
12  30.4138126514911
13  55.5517776493246
14  24.779023386727733
15  29.223278392404914
16  29.086079144497972
17  26.343879744638983
18  4.242640687119285
19  19.44222209522358
20  7.280109889280518
21  15.165750888103101
22  30.495901363953813
23  3.1622776601683795
24  9.219544457292887
25  15.427248620541512
26  17.291616465790582
27  19.544820285692065
28  19.79898987322333
29  7.3484692283495345
30  5.744562646538029
31  8.246211251235321
32  4.898979485566356
33  5.830951894845301
34  3.7416573867739413

