%% LaTeX2e file `div_horizontal.data'
%% generated by the `filecontents' environment
%% from source `TransferReport' on 2021/01/15.
%%
#MOPS  Power [mW]
0  26.720778431774775
1  11.445523142259598
2  13.74772708486752
3  31.04834939252005
4  16.792855623746664
5  31.192947920964443
6  18.110770276274835
7  11.704699910719626
8  7.0
9  9.055385138137417
10  45.53020975132884
11  36.89173349139343
12  19.078784028338912
13  7.3484692283495345
14  54.230987451824994
15  26.851443164195103
16  10.198039027185569
17  5.744562646538029
18  38.17066936798463
19  33.03028912982749
20  15.297058540778355
21  15.165750888103101
22  16.24807680927192
23  26.248809496813376
24  25.709920264364882
25  7.54983443527075
26  5.0990195135927845
27  29.427877939124322
28  7.0710678118654755
29  17.349351572897472
30  5.0990195135927845
31  8.0
32  25.67099530598687
33  16.431676725154983

